text,count,percentage
eigen3-devel,1,0.13
openblas-devel,1,0.13
eigen,1,0.13
openblas,1,0.13
Homebrew,1,0.13
libeigen3-dev,1,0.13
OpenBLAS,1,0.13
Eigen3,1,0.13
cuttlefish,1,0.13
DaisyUI,1,0.13
 SvelteKit,1,0.13
pooch,1,0.13
cypress,1,0.13
pillow,1,0.13
patchify,1,0.13
opencv-python,1,0.13
notebook,1,0.13
jupyter notebook,1,0.13
VFRendering,1,0.13
anaconda-navigator,1,0.13
mysql=connector-python,1,0.13
SQLAlchemy,1,0.13
Chrome,1,0.13
keras,1,0.13
GTest,1,0.13
ZeroMQ,1,0.13
Doxygen,1,0.13
FairLogger,1,0.13
FairCMakeModules,1,0.13
Boost,1,0.13
pypi,1,0.13
pymatgen,1,0.13
ase,1,0.13
segmentation_models,1,0.13
tifffile,1,0.13
WinPython,1,0.13
 HORTON,1,0.13
Jupyter Book,1,0.13
JupyterHub,1,0.13
Docker Swarm,1,0.13
Spark,1,0.13
Hadoop,1,0.13
GlusterFS,1,0.13
ansible,1,0.13
CWLTiny,1,0.13
LFS,1,0.13
 Nosetests,1,0.13
scikit-image,1,0.13
 Matplotlib,1,0.13
 SymPy,1,0.13
 NumPy,1,0.13
 SciPy,1,0.13
hypothesis,1,0.13
python 3,1,0.13
ultimodel,1,0.13
ULTImodel,1,0.13
pathlib,1,0.13
MSSQL,1,0.13
